ID,Relevance,Stance,Hate,Direction,Targets,Humor
1569331400809091072,1.0,1.0,1.0,1.0,2.0,0.0
1565757949833887745,1.0,1.0,0.0,,,0.0
1587368839456645120,1.0,1.0,0.0,,,0.0
1573368652182716416,1.0,1.0,0.0,,,0.0
1603721601790332928,0.0,,,,,
1519983446646575105,1.0,1.0,1.0,1.0,2.0,1.0
1522341483302604800,1.0,1.0,0.0,,,0.0
1560716937713311753,1.0,3.0,0.0,,,0.0
1504827286717095943,1.0,1.0,0.0,,,0.0
1533041045314863104,1.0,1.0,0.0,,,0.0
1578365938306789376,1.0,1.0,0.0,,,0.0
1537872738961989633,1.0,3.0,0.0,,,0.0
1585491041607622656,1.0,2.0,1.0,1.0,1.0,0.0
1507379279490957318,1.0,3.0,0.0,,,0.0
1565123712592093187,1.0,1.0,0.0,,,0.0
1552512593662722050,0.0,,,,,
1562886197630087169,1.0,2.0,1.0,1.0,1.0,0.0
1494537716863754251,1.0,1.0,0.0,,,0.0
1579346983118340096,0.0,,,,,
1517443712040808449,1.0,1.0,0.0,,,0.0
1509109040353361921,0.0,,,,,
1565800257010577409,1.0,3.0,0.0,,,0.0
1600180031870976008,1.0,1.0,0.0,,,0.0
1542923972924293122,1.0,1.0,0.0,,,0.0
1535260774305783815,1.0,1.0,0.0,,,0.0
1575863702649475073,0.0,,,,,
1549783506976399360,1.0,1.0,1.0,1.0,1.0,0.0
1512467640526254095,0.0,,,,,
1517783122577965056,1.0,1.0,0.0,,,0.0
1481945981298126849,0.0,,,,,
1591031736213069824,1.0,3.0,0.0,,,0.0
1573262373401821190,0.0,,,,,
1486967389799391232,1.0,3.0,0.0,,,0.0
1490187202927677442,1.0,1.0,0.0,,,0.0
1550475901464444929,1.0,1.0,0.0,,,0.0
1540195820242612225,0.0,,,,,
1555497527096610817,0.0,,,,,
1586019079231455233,1.0,3.0,0.0,,,0.0
1496738588230365186,1.0,2.0,1.0,1.0,1.0,0.0
1590975351119048704,0.0,,,,,
1486043205510520832,1.0,1.0,0.0,,,0.0
1573407950814777345,1.0,1.0,0.0,,,0.0
1509772728898711554,0.0,,,,,
1567296688326418436,0.0,,,,,
1552326157470781443,1.0,1.0,0.0,,,0.0
1550164822033309696,0.0,,,,,
1512074727510056961,1.0,1.0,0.0,,,0.0
1557614545375752192,0.0,,,,,
1507321993988821005,1.0,1.0,0.0,,,0.0
1556989392480247809,1.0,2.0,1.0,1.0,1.0,0.0
1590811537408663568,1.0,1.0,0.0,,,0.0
1482028178142941188,1.0,1.0,1.0,1.0,2.0,0.0
1541457791163895809,0.0,,,,,
1503769507353235458,1.0,1.0,0.0,,,0.0
1565269578560770048,1.0,1.0,0.0,,,0.0
1577372984158863369,0.0,,,,,
1585696698005082112,1.0,1.0,1.0,1.0,2.0,0.0
1489222654859087878,0.0,,,,,
1489098515951333379,1.0,1.0,1.0,1.0,2.0,0.0
1512168330483875843,1.0,3.0,0.0,,,0.0
1558166431908315137,0.0,,,,,
1507187481988702211,0.0,,,,,
1517397799561703425,1.0,1.0,0.0,,,0.0
1591053128610172928,0.0,,,,,
1542171736086560768,0.0,,,,,
1559945182765649920,1.0,1.0,0.0,,,0.0
1519959744252895232,1.0,3.0,0.0,,,0.0
1482054414995181573,0.0,,,,,
1573046980892364803,0.0,,,,,
1504438969869742092,0.0,,,,,
1497257267175079942,0.0,,,,,
1581995666418827264,0.0,,,,,
1520452295070294016,0.0,,,,,
1487044794312318977,0.0,,,,,
1494756746677661700,1.0,1.0,0.0,,,0.0
1585640979952185345,0.0,,,,,
1513447809801928707,1.0,1.0,1.0,1.0,2.0,0.0
1507208106878517248,1.0,1.0,0.0,,,0.0
1550456225900351488,1.0,1.0,0.0,,,0.0
1483207760296779779,0.0,,,,,
1580818052383330305,0.0,,,,,
1522563569870684160,0.0,,,,,
1540327730998386689,0.0,,,,,
1514933184550608901,0.0,,,,,
1549152031688065026,0.0,,,,,
1573345445719379968,0.0,,,,,
1497523754238414851,1.0,1.0,0.0,,,0.0
1587353749806276611,1.0,1.0,0.0,,,0.0
1576478940834983936,1.0,3.0,0.0,,,0.0
1607413676025483264,0.0,,,,,
1517893676629962755,0.0,,,,,
1492012677509619719,0.0,,,,,
1571170773972164610,1.0,1.0,0.0,,,0.0
1506455780270407681,1.0,1.0,0.0,,,0.0
1482324726823456769,0.0,,,,,
1540694584547856390,0.0,,,,,
1567435013620129794,0.0,,,,,
1588605029401124864,0.0,,,,,
1595900070930489344,1.0,1.0,0.0,,,0.0
1565723252676509696,1.0,1.0,0.0,,,0.0
1490331644170944518,0.0,,,,,
1493914640547524609,0.0,,,,,
1582663855108665344,0.0,,,,,
1477070661462138880,1.0,1.0,1.0,0.0,,0.0
1507673807443709954,1.0,1.0,0.0,,,0.0
1593692996284866565,1.0,1.0,0.0,,,0.0
1481342387410849792,1.0,3.0,0.0,,,0.0
1584581671029854210,0.0,,,,,
1569457200032104449,0.0,,,,,
1561718519796039680,0.0,,,,,
1593744049449668609,1.0,3.0,0.0,,,0.0
1589950870677966848,0.0,,,,,
1491844707554578432,1.0,1.0,0.0,,,0.0
1573587717836996608,1.0,1.0,0.0,,,0.0
1514928398304436227,0.0,,,,,
1510029573085356039,1.0,3.0,0.0,,,0.0
1573749280875085825,0.0,,,,,
1529863572746125314,1.0,1.0,0.0,,,0.0
1535215206594252800,1.0,2.0,1.0,0.0,,0.0
1479460970250620930,0.0,,,,,
1479446183089217546,1.0,1.0,0.0,,,0.0
1569363948234854403,1.0,1.0,0.0,,,0.0
1605169382409355269,0.0,,,,,
1535233661955612675,0.0,,,,,
1568167003222953984,1.0,1.0,1.0,1.0,2.0,0.0
1573197203774083072,0.0,,,,,
1512390807420129282,0.0,,,,,
1596207753756028929,0.0,,,,,
1522522081308651521,0.0,,,,,
1518651134319206402,0.0,,,,,
1520000789326008320,1.0,3.0,0.0,,,0.0
1525427077494841344,0.0,,,,,
1597470416506757120,0.0,,,,,
1580850706617360384,1.0,3.0,0.0,,,0.0
1501235647645945856,1.0,1.0,0.0,,,0.0
1537642542434775040,0.0,,,,,
1533583386853486599,1.0,1.0,1.0,1.0,2.0,1.0
1589210433172672512,0.0,,,,,
1482704546627563525,1.0,1.0,0.0,,,0.0
1584829379045363713,0.0,,,,,
1532809250891702272,1.0,3.0,0.0,,,0.0
1573299149361106944,1.0,1.0,0.0,,,0.0
1589194949924622336,0.0,,,,,
1578463313855647744,1.0,1.0,0.0,,,0.0
1560581736316121088,1.0,1.0,0.0,,,0.0
1537804914843435009,0.0,,,,,
1573228521547350016,1.0,1.0,0.0,,,0.0
1505272990853857281,1.0,1.0,0.0,,,0.0
1527408853842808851,1.0,1.0,0.0,,,0.0
1507902391630372868,1.0,1.0,0.0,,,0.0
1498722548812435457,1.0,1.0,0.0,,,0.0
1574181043162124288,0.0,,,,,
1517533760509591553,1.0,1.0,0.0,,,0.0
1545355707427344384,1.0,1.0,0.0,,,0.0
1480181039045791747,1.0,1.0,1.0,1.0,2.0,0.0
1572775646995959808,1.0,1.0,0.0,,,0.0
1567055172722982913,0.0,,,,,
1593626410995810306,1.0,3.0,0.0,,,0.0
1507324021204996096,1.0,1.0,0.0,,,0.0
1563172446366498819,1.0,1.0,0.0,,,0.0
1603676845869875203,1.0,2.0,1.0,1.0,1.0,0.0
1594284345023688704,1.0,3.0,0.0,,,0.0
1550302358864687104,0.0,,,,,
1583354398624784384,1.0,1.0,1.0,0.0,,0.0
1482721864283738122,1.0,1.0,0.0,,,0.0
1545825367830810624,1.0,2.0,1.0,1.0,1.0,0.0
1573453904192339979,1.0,1.0,0.0,,,0.0
1499436320023851010,0.0,,,,,
1499827632321568768,0.0,,,,,
1573225843886792706,0.0,,,,,
1580820427433132033,0.0,,,,,
1520077656343166976,0.0,,,,,
1574640134116474880,0.0,,,,,
1596172522545815554,0.0,,,,,
1529797373161050112,1.0,1.0,0.0,,,0.0
1568321205819801600,0.0,,,,,
1504728854308478983,1.0,3.0,0.0,,,0.0
1576956251136995330,1.0,1.0,0.0,,,0.0
1500073208715882499,1.0,1.0,1.0,1.0,2.0,0.0
1504724209486135300,1.0,1.0,0.0,,,0.0
1534212376991518720,0.0,,,,,
1554057082550321157,1.0,2.0,1.0,1.0,1.0,0.0
1497254311880900610,0.0,,,,,
1572320803408027649,0.0,,,,,
1570553888566280196,1.0,1.0,1.0,1.0,3.0,0.0
1573397906203328514,0.0,,,,,
1478091359676506119,1.0,1.0,0.0,,,0.0
1570779603383492609,0.0,,,,,
1507076660713168896,1.0,1.0,0.0,,,0.0
1504724778678116370,1.0,1.0,0.0,,,0.0
1608797226142437376,1.0,1.0,0.0,,,0.0
1527616913970454528,1.0,1.0,0.0,,,0.0
1512521432588337153,1.0,1.0,0.0,,,0.0
1525179771373891584,1.0,3.0,0.0,,,0.0
1608900259375382528,0.0,,,,,
1586642082013265921,1.0,1.0,0.0,,,0.0
1563079054353637379,1.0,1.0,0.0,,,0.0
1482324108071391232,1.0,1.0,0.0,,,0.0
1494728921199304709,1.0,1.0,0.0,,,0.0
1583835567694893057,0.0,,,,,
1554572753751216132,0.0,,,,,
1581241583030374400,0.0,,,,,
1545731930351624192,0.0,,,,,
1556970371995295744,0.0,,,,,
1597667223782719488,0.0,,,,,
1573316938666737664,1.0,1.0,0.0,,,0.0
1601208755865399296,0.0,,,,,
1563170990871363587,0.0,,,,,
1503425676346494979,0.0,,,,,
1544014194655338496,0.0,,,,,
1573251372467748870,0.0,,,,,
1542803351619911681,1.0,1.0,0.0,,,0.0
1514933093265719307,0.0,,,,,
1537684800013754370,0.0,,,,,
1504739063106088962,1.0,1.0,0.0,,,0.0
1548975429989519361,0.0,,,,,
1555538360495751168,1.0,3.0,0.0,,,0.0
1553092999856340992,1.0,1.0,0.0,,,0.0
1499695382657392644,0.0,,,,,
1568482756488994817,1.0,2.0,1.0,1.0,1.0,0.0
1591633631738753024,0.0,,,,,
1565571889094950913,0.0,,,,,
1598566200321413120,0.0,,,,,
1507467361200320513,0.0,,,,,
1586286284548755457,0.0,,,,,
1528842768638001154,0.0,,,,,
1540050698846494721,0.0,,,,,
1554329107827232769,1.0,1.0,1.0,0.0,,0.0
1578294917062955010,0.0,,,,,
1527624098007883776,1.0,3.0,0.0,,,0.0
1588614837092974601,1.0,1.0,0.0,,,0.0
1551898760103575552,1.0,2.0,1.0,1.0,1.0,0.0
1578363923170230272,1.0,1.0,0.0,,,0.0
1506988045983174656,1.0,2.0,0.0,,,0.0
1484894213305094145,1.0,1.0,0.0,,,0.0
1507409464957284353,1.0,3.0,0.0,,,0.0
1514892835308417025,1.0,1.0,0.0,,,0.0
1573329437776834562,0.0,,,,,
1601295133496180736,1.0,3.0,0.0,,,0.0
1558362016653475840,1.0,3.0,0.0,,,0.0
1477581594177245191,0.0,,,,,
1542908729066000385,1.0,1.0,0.0,,,0.0
1497352698215079944,1.0,1.0,1.0,0.0,,0.0
1568210298083119105,0.0,,,,,
1487105655701917701,1.0,1.0,0.0,,,0.0
1541791725932486658,1.0,2.0,1.0,1.0,1.0,0.0
1507320693855334402,0.0,,,,,
1601083791094996992,0.0,,,,,
1522591803479891968,0.0,,,,,
1601305886319955971,0.0,,,,,
1525198500819894272,0.0,,,,,
1563559361594548232,0.0,,,,,
1547924664625770497,1.0,1.0,0.0,,,0.0
1563163341400739840,1.0,1.0,0.0,,,0.0
1593688316481871876,1.0,1.0,0.0,,,0.0
1560678380655169536,0.0,,,,,
1575399686890229760,1.0,3.0,0.0,,,0.0
1589461092232986624,0.0,,,,,
1553093001819422722,0.0,,,,,
1506889367767461893,1.0,3.0,0.0,,,0.0
1512438248932581380,1.0,1.0,0.0,,,0.0
1558276781391724544,1.0,2.0,1.0,1.0,1.0,0.0
1602286112109633537,1.0,3.0,0.0,,,0.0
1573683637073186816,0.0,,,,,
1506901017954516994,1.0,3.0,0.0,,,0.0
1507430079105748994,1.0,1.0,0.0,,,0.0
1512498125709189126,1.0,1.0,0.0,,,0.0
1541207441605595136,0.0,,,,,
1491789308344168460,0.0,,,,,
1507543787220144129,1.0,1.0,0.0,,,0.0
1580251821956009985,1.0,1.0,0.0,,,0.0
1532682282154221568,0.0,,,,,
1529590688148504579,1.0,3.0,0.0,,,0.0
1578247677719900160,0.0,,,,,
1532721956793077760,0.0,,,,,
1604588318456324096,1.0,3.0,0.0,,,0.0
1558179773045768195,0.0,,,,,
1603570607903358984,1.0,3.0,0.0,,,0.0
